sym,date,dir,sess,cat,entry,exit,er,lot,pnl,tp1hit,q,balance,month
HK50.cash,2025-08-29,SHORT,LONDON,Index,25176.23,25281.43,SL,1.09,-114.67,False,9,14206.93,2025-08
XAUUSD,2025-09-02,LONG,LONDON,Metal,3475.93,3471.37,SL,0.16,-72.96,False,10,14133.97,2025-09
GBPAUD,2025-09-02,SHORT,LONDON,Cross,2.06702,2.06177,TP2,0.54,283.5,True,8,14417.47,2025-09
GBPCAD,2025-09-03,SHORT,LONDON,Cross,1.84608,1.84246,TP2,0.8,290.0,True,8,14707.47,2025-09
GBPCAD,2025-09-04,SHORT,LONDON,Cross,1.85557,1.85474,TRAIL,0.77,90.9,True,8,14798.37,2025-09
AUDCHF,2025-09-04,LONG,LONDON,Cross,0.52493,0.52492,EOD,0.95,-0.95,False,5,14797.42,2025-09
EURNZD,2025-09-05,LONG,LONDON,Cross,1.99102,1.98925,SL,0.67,-118.59,False,8,14678.83,2025-09
GER40.cash,2025-09-05,SHORT,LONDON,Index,23840.43,23861.96,SL,5.45,-117.34,False,8,14561.49,2025-09
EURUSD,2025-09-09,LONG,NY,Major,1.17353,1.17418,EOD,0.74,48.1,False,9,14609.59,2025-09
GER40.cash,2025-09-09,SHORT,LONDON,Index,23800.63,23700.339,TRAIL,1.43,130.29,True,8,14739.88,2025-09
EURUSD,2025-09-10,LONG,NY,Major,1.17032,1.17032,TRAIL,0.91,58.7,True,9,14798.58,2025-09
USDCHF,2025-09-10,SHORT,LONDON,Major,0.79787,0.79787,TRAIL,1.26,59.22,True,7,14857.8,2025-09
AUDUSD,2025-09-11,LONG,LONDON,Major,0.66093,0.65995,SL,1.21,-118.58,False,9,14739.22,2025-09
EURNZD,2025-09-11,SHORT,LONDON,Cross,1.96948,1.97184,SL,0.5,-118.0,False,8,14621.22,2025-09
HK50.cash,2025-09-12,LONG,LONDON,Index,26416.13,26332.23,SL,1.39,-116.62,False,9,14504.6,2025-09
EURNZD,2025-09-12,SHORT,LONDON,Cross,1.96536,1.96681,SL,0.8,-116.0,False,8,14388.6,2025-09
HK50.cash,2025-09-16,LONG,LONDON,Index,26465.63,26349.53,EOD,0.91,-105.65,False,9,14282.95,2025-09
GER40.cash,2025-09-16,SHORT,LONDON,Index,23757.96,23622.96,TP2,2.12,286.2,True,8,14569.15,2025-09
EURUSD,2025-09-17,LONG,LONDON,Major,1.18523,1.18434,SL,1.31,-116.59,False,9,14452.56,2025-09
GBPAUD,2025-09-17,SHORT,LONDON,Cross,2.04396,2.04513,SL,0.99,-115.83,False,8,14336.73,2025-09
EURUSD,2025-09-18,LONG,LONDON,Major,1.18082,1.18314,TRAIL,0.51,116.23,True,9,14452.96,2025-09
GER40.cash,2025-09-18,SHORT,LONDON,Index,23436.49,23492.36,SL,2.07,-115.65,False,8,14337.31,2025-09
HK50.cash,2025-09-19,LONG,LONDON,Index,26529.63,26488.73,SL,2.8,-114.52,False,9,14222.79,2025-09
AUDCHF,2025-09-19,SHORT,LONDON,Cross,0.52446,0.52388,EOD,1.01,58.58,False,5,14281.37,2025-09
GBPUSD,2025-09-23,SHORT,LONDON,Major,1.35184,1.35077,TRAIL,0.83,101.22,True,8,14382.59,2025-09
GBPAUD,2025-09-23,LONG,NY,Cross,2.04527,2.04601,TRAIL,0.6,79.92,True,8,14462.51,2025-09
EURNZD,2025-09-24,LONG,LONDON,Cross,2.01273,2.01371,TRAIL,0.84,98.66,True,8,14561.17,2025-09
GER40.cash,2025-09-24,SHORT,LONDON,Index,23627.46,23576.46,TP2,5.71,291.21,True,8,14852.38,2025-09
USDCAD,2025-09-25,LONG,LONDON,Major,1.38899,1.38965,TRAIL,1.05,94.03,True,7,14946.41,2025-09
AUDUSD,2025-09-26,SHORT,LONDON,Major,0.65428,0.65337,TRAIL,1.39,123.15,True,9,15069.56,2025-09
HK50.cash,2025-09-26,LONG,LONDON,Index,26290.93,26308.41,TRAIL,2.03,78.03,True,9,15147.59,2025-09
HK50.cash,2025-09-30,LONG,LONDON,Index,26638.23,26766.95,TRAIL,1.29,143.4,True,9,15290.99,2025-09
GBPUSD,2025-09-30,SHORT,LONDON,Major,1.34378,1.34406,EOD_trail,0.66,51.48,True,8,15342.47,2025-09
EURUSD,2025-10-01,LONG,NY,Major,1.17313,1.17227,SL,1.43,-122.98,False,9,15219.49,2025-10
GBPUSD,2025-10-01,SHORT,LONDON,Major,1.34628,1.34821,SL,0.63,-121.59,False,8,15097.9,2025-10
EURNZD,2025-10-02,LONG,LONDON,Cross,2.01361,2.01243,SL,1.02,-120.36,False,8,14977.54,2025-10
XAUUSD,2025-10-03,LONG,LONDON,Metal,3841.11,3850.71,TP2,0.2,192.0,True,10,15169.54,2025-10
EURNZD,2025-10-03,SHORT,LONDON,Cross,2.01467,2.0141,TRAIL,1.04,90.43,True,8,15259.97,2025-10
XAUUSD,2025-10-07,LONG,NY,Metal,3951.65,3954.8,TP2,0.61,192.15,True,10,15452.12,2025-10
GBPCAD,2025-10-08,LONG,LONDON,Cross,1.8713,1.8713,TRAIL,0.71,62.12,True,8,15514.24,2025-10
XAUUSD,2025-10-09,LONG,LONDON,Metal,4032.47,4037.733,TRAIL,0.12,70.52,True,10,15584.76,2025-10
EURUSD,2025-10-09,SHORT,LONDON,Major,1.16317,1.16156,TRAIL,0.83,129.36,True,9,15714.12,2025-10
AUDUSD,2025-10-10,SHORT,LONDON,Major,0.65551,0.65459,EOD,0.64,58.88,False,9,15773.0,2025-10
GER40.cash,2025-10-10,LONG,NY,Index,24573.56,24596.66,EOD,1.97,45.51,False,8,15818.51,2025-10
XAUUSD,2025-10-14,LONG,LONDON,Metal,4091.13,4095.78,TP2,0.43,199.95,True,10,16018.46,2025-10
GER40.cash,2025-10-15,SHORT,LONDON,Index,24339.46,24330.01,TRAIL,2.88,77.69,True,8,16096.15,2025-10
USDCAD,2025-10-15,LONG,LONDON,Major,1.40329,1.40473,TRAIL,1.05,140.23,True,7,16236.38,2025-10
HK50.cash,2025-10-16,SHORT,LONDON,Index,25862.23,25698.98,TP2,1.99,324.87,True,9,16561.25,2025-10
EURNZD,2025-10-16,LONG,LONDON,Cross,2.03126,2.02857,SL,0.49,-131.81,False,8,16429.44,2025-10
EURNZD,2025-10-17,LONG,NY,Cross,2.03702,2.04148,TRAIL,0.45,166.45,True,8,16595.89,2025-10
NZDUSD,2025-10-17,SHORT,LONDON,Major,0.57361,0.57141,TP2,1.51,332.2,True,7,16928.09,2025-10
GBPCAD,2025-10-21,LONG,LONDON,Cross,1.88006,1.88126,TRAIL,1.06,131.23,True,8,17059.32,2025-10
HK50.cash,2025-10-22,SHORT,LONDON,Index,25900.43,25825.43,TP2,4.55,341.25,True,9,17400.57,2025-10
GBPAUD,2025-10-22,LONG,LONDON,Cross,2.05777,2.05613,SL,0.85,-139.4,False,8,17261.17,2025-10
GER40.cash,2025-10-23,SHORT,LONDON,Index,24180.53,24203.56,SL,6.0,-138.18,False,8,17122.99,2025-10
AUDUSD,2025-10-24,LONG,LONDON,Major,0.65028,0.65132,TRAIL,0.96,118.27,True,9,17241.26,2025-10
GBPUSD,2025-10-24,SHORT,LONDON,Major,1.33268,1.33199,TRAIL,1.25,111.87,True,8,17353.13,2025-10
EURNZD,2025-10-28,SHORT,LONDON,Cross,2.0193,2.01763,TRAIL,1.26,174.51,True,8,17527.64,2025-10
GER40.cash,2025-10-28,LONG,LONDON,Index,24266.66,24213.46,SL,2.64,-140.45,False,8,17387.19,2025-10
XAUUSD,2025-10-29,SHORT,LONDON,Metal,3969.81,3962.61,TP2,0.3,216.0,True,10,17603.19,2025-10
GER40.cash,2025-10-29,LONG,LONDON,Index,24234.33,24252.139,TRAIL,2.38,91.49,True,8,17694.68,2025-10
GBPCAD,2025-10-30,SHORT,LONDON,Cross,1.84064,1.84051,TRAIL,0.75,75.86,True,8,17770.54,2025-10
AUDCHF,2025-10-30,LONG,NY,Cross,0.52449,0.52482,EOD,1.6,52.8,False,5,17823.34,2025-10
GBPCAD,2025-10-31,SHORT,LONDON,Cross,1.8398,1.84094,SL,1.25,-142.5,False,8,17680.84,2025-10
GBPAUD,2025-11-04,SHORT,LONDON,Cross,2.01051,2.01187,SL,0.39,-53.04,False,8,17627.8,2025-11
USDCHF,2025-11-05,LONG,LONDON,Major,0.80907,0.81032,TRAIL,0.43,53.34,True,7,17681.14,2025-11
XAUUSD,2025-11-06,SHORT,LONDON,Metal,3989.72,3991.35,SL,0.54,-88.02,False,10,17593.12,2025-11
USDCHF,2025-11-06,LONG,LONDON,Major,0.80924,0.80836,SL,0.6,-52.8,False,7,17540.32,2025-11
XAUUSD,2025-11-07,SHORT,LONDON,Metal,3994.85,3999.51,SL,0.19,-88.54,False,10,17451.78,2025-11
GBPUSD,2025-11-07,LONG,LONDON,Major,1.31204,1.31032,SL,0.3,-51.6,False,8,17400.18,2025-11
GBPAUD,2025-11-11,SHORT,LONDON,Cross,2.0162,2.01417,TRAIL,0.19,45.59,True,8,17445.77,2025-11
GER40.cash,2025-11-11,LONG,LONDON,Index,24035.36,24006.26,SL,1.8,-52.38,False,8,17393.39,2025-11
XAUUSD,2025-11-12,LONG,LONDON,Metal,4107.13,4102.95,SL,0.21,-87.78,False,10,17305.61,2025-11
USDCAD,2025-11-12,SHORT,LONDON,Major,1.40193,1.40086,TRAIL,0.6,58.17,True,7,17363.78,2025-11
GER40.cash,2025-11-13,LONG,LONDON,Index,24381.26,24348.26,SL,1.58,-52.14,False,8,17311.64,2025-11
USDCAD,2025-11-13,SHORT,LONDON,Major,1.40085,1.39929,TRAIL,0.51,65.89,True,7,17377.53,2025-11
EURUSD,2025-11-14,LONG,NY,Major,1.1631,1.1631,TRAIL,0.23,25.76,True,9,17403.29,2025-11
GER40.cash,2025-11-14,SHORT,LONDON,Index,24108.73,24049.155,TP2,2.19,130.47,True,8,17533.76,2025-11
GBPUSD,2025-11-18,LONG,NY,Major,1.31454,1.31503,TRAIL,0.42,36.79,True,8,17570.55,2025-11
GBPCAD,2025-11-19,SHORT,LONDON,Cross,1.83952,1.84046,SL,0.56,-52.64,False,8,17517.91,2025-11
AUDUSD,2025-11-20,SHORT,LONDON,Major,0.64802,0.64961,SL,0.33,-52.47,False,9,17465.44,2025-11
USDCAD,2025-11-20,LONG,NY,Major,1.40431,1.40518,EOD_trail,0.46,46.0,True,7,17511.44,2025-11
GBPUSD,2025-11-21,SHORT,LONDON,Major,1.30864,1.31012,SL,0.35,-51.8,False,8,17459.64,2025-11
EURNZD,2025-11-21,LONG,NY,Cross,2.05492,2.05837,TP2,0.38,131.1,True,8,17590.74,2025-11
GER40.cash,2025-11-25,SHORT,LONDON,Index,23277.16,23178.66,TP2,1.34,131.99,True,8,17722.73,2025-11
GBPUSD,2025-11-26,LONG,NY,Major,1.31539,1.31402,SL,0.39,-53.43,False,8,17669.3,2025-11
XAUUSD,2025-11-27,LONG,LONDON,Metal,4158.55,4164.646,TRAIL,0.23,113.57,True,10,17782.87,2025-11
XAUUSD,2025-11-28,LONG,LONDON,Metal,4156.18,4180.0,TRAIL,0.04,97.84,True,10,17880.71,2025-11
EURNZD,2025-11-28,SHORT,LONDON,Cross,2.02668,2.02668,TRAIL,0.36,26.64,True,8,17907.35,2025-11
GBPUSD,2025-12-02,LONG,LONDON,Major,1.32084,1.32119,TRAIL,0.48,34.97,True,8,17942.32,2025-12
EURNZD,2025-12-02,SHORT,LONDON,Cross,2.02768,2.02719,TRAIL,0.42,37.44,True,8,17979.76,2025-12
EURNZD,2025-12-03,SHORT,LONDON,Cross,2.02719,2.02831,SL,0.48,-53.76,False,8,17926.0,2025-12
XAUUSD,2025-12-04,LONG,LONDON,Metal,4195.64,4192.0,SL,0.25,-91.0,False,10,17835.0,2025-12
USDCHF,2025-12-05,LONG,LONDON,Major,0.80219,0.80293,TRAIL,0.48,44.74,True,7,17879.74,2025-12
XAUUSD,2025-12-09,LONG,LONDON,Metal,4184.55,4191.85,TP2,0.31,226.3,True,10,18106.04,2025-12
GBPCAD,2025-12-09,SHORT,LONDON,Cross,1.84649,1.84749,SL,0.54,-54.0,False,8,18052.04,2025-12
EURNZD,2025-12-10,SHORT,LONDON,Cross,2.01292,2.01423,SL,0.41,-53.71,False,8,17998.33,2025-12
GER40.cash,2025-12-10,LONG,LONDON,Index,24104.53,24118.209,TRAIL,2.23,42.2,True,8,18040.53,2025-12
AUDUSD,2025-12-11,LONG,LONDON,Major,0.6631,0.66423,TRAIL,0.56,58.58,True,9,18099.11,2025-12
EURNZD,2025-12-11,SHORT,LONDON,Cross,2.01593,2.01535,TRAIL,0.24,33.65,True,8,18132.76,2025-12
EURUSD,2025-12-12,LONG,LONDON,Major,1.17368,1.17238,SL,0.42,-54.6,False,9,18078.16,2025-12
XAUUSD,2025-12-16,LONG,NY,Metal,4299.86,4324.21,TP2,0.09,219.15,True,10,18297.31,2025-12
AUDCHF,2025-12-16,SHORT,LONDON,Cross,0.52903,0.52828,TRAIL,0.51,46.38,True,5,18343.69,2025-12
AUDUSD,2025-12-17,LONG,LONDON,Major,0.66208,0.66255,EOD,0.33,15.51,False,9,18359.2,2025-12
XAUUSD,2025-12-18,LONG,LONDON,Metal,4329.38,4333.055,TP2,0.62,227.85,True,10,18587.05,2025-12
XAUUSD,2025-12-19,LONG,LONDON,Metal,4323.34,4327.53,TRAIL,0.15,79.42,True,10,18666.47,2025-12
GBPAUD,2025-12-23,LONG,LONDON,Cross,2.02054,2.01931,SL,0.46,-56.58,False,8,18609.89,2025-12
GBPCAD,2025-12-24,LONG,NY,Cross,1.84648,1.84648,TRAIL,0.49,28.17,True,8,18638.06,2025-12
EURNZD,2025-12-30,LONG,LONDON,Cross,2.02437,2.02533,TRAIL,0.52,52.94,True,8,18691.0,2025-12
GBPCAD,2025-12-31,SHORT,LONDON,Cross,1.84443,1.84076,TP2,0.38,139.65,True,8,18830.65,2025-12
GBPCAD,2026-01-06,LONG,NY,Cross,1.86134,1.8617,EOD_trail,0.5,37.0,True,8,18867.65,2026-01
GBPUSD,2026-01-07,LONG,LONDON,Major,1.34921,1.34943,TRAIL,0.52,34.14,True,8,18901.79,2026-01
EURNZD,2026-01-07,SHORT,LONDON,Cross,2.02338,2.02086,TP2,0.56,141.4,True,8,19043.19,2026-01
GER40.cash,2026-01-08,LONG,LONDON,Index,25084.43,25155.369,TRAIL,0.94,62.0,True,8,19105.19,2026-01
GBPCAD,2026-01-09,LONG,NY,Cross,1.86108,1.86389,TRAIL,0.34,76.79,True,8,19181.98,2026-01
GBPAUD,2026-01-09,SHORT,LONDON,Cross,2.00695,2.0079,SL,0.61,-57.95,False,8,19124.03,2026-01
XAUUSD,2026-01-13,LONG,LONDON,Metal,4589.66,4584.96,SL,0.2,-94.0,False,10,19030.03,2026-01
GBPUSD,2026-01-14,SHORT,LONDON,Major,1.344,1.3456,SL,0.36,-57.6,False,8,18972.43,2026-01
EURNZD,2026-01-14,LONG,LONDON,Cross,2.02583,2.02632,TRAIL,0.51,40.72,True,8,19013.15,2026-01
GBPAUD,2026-01-15,LONG,LONDON,Cross,2.00952,2.00974,TRAIL,0.4,32.54,True,8,19045.69,2026-01
XAUUSD,2026-01-16,LONG,LONDON,Metal,4601.11,4595.33,SL,0.16,-92.48,False,10,18953.21,2026-01
GBPUSD,2026-01-16,SHORT,LONDON,Major,1.33928,1.34079,SL,0.38,-57.38,False,8,18895.83,2026-01
GBPCAD,2026-01-20,LONG,NY,Cross,1.86004,1.86206,EOD,0.21,42.42,False,8,18938.25,2026-01
EURUSD,2026-01-21,LONG,LONDON,Major,1.17113,1.17021,SL,0.62,-57.04,False,9,18881.21,2026-01
